"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CBR4",246.99119055769,0.26796309293354,0.156186271364279,1.71566355091837,0.0862236396042874,NA
"SPC25",126.235693337357,0.267985094830607,0.244789409488511,1.09475771599173,0.273622795635372,NA
"F8",34.7862999944071,0.268122336419285,0.40063597747926,0.669241784290742,0.503341255946333,NA
"TMUB1",148.128586988264,0.268321614988836,0.200467989619124,1.3384761103188,0.180741282862942,NA
"TMEM116",14.8923309783247,0.268895888627309,0.566226238244929,0.474891254528891,0.634864485223112,NA
"RYBP",479.74716817448,0.268907012792246,0.148425512806172,1.81173039397486,0.0700278648867037,NA
"RASA4",118.605888998001,0.26897339181741,0.326528212337899,0.823737066673645,0.410088973227922,NA
"ZNF653",43.5928632495,0.269033226652305,0.374909194263057,0.717595702557074,0.473006608163842,NA
"PDE3B",60.4150753913816,0.269044085125989,0.328995664703085,0.817773952640982,0.413486273891521,NA
"ZNF524",61.6396297873536,0.269576527349984,0.276321259516739,0.975590976320277,0.329267198030752,NA
"PRTFDC1",72.7758829357379,0.2696233575599,0.293973582862551,0.917168661668364,0.359054265790761,NA
"MED7",112.409975473795,0.269773831160243,0.223293664888276,1.20815712033399,0.226986831860827,NA
"NEK2",206.525254864367,0.270004555915784,0.183048792915851,1.47504144449567,0.140201401434607,NA
"MC1R",16.98119489201,0.270370102030562,0.544782376238884,0.496290103760637,0.61968974740938,NA
"SEMA6D",84.5379662167423,0.270466556609447,0.323742359559669,0.835437651647797,0.403471337840344,NA
"ZNF853",22.3762801748487,0.270576941779773,0.452739294025245,0.597644042278968,0.550077470466479,NA
"RBM44",9.47010820863924,0.270627436713269,0.753716733572465,0.359057222241238,0.719552282321561,NA
"RNU2-2P",511.972061422107,0.270724783144183,0.133807328468418,2.02324331740979,0.0430480676654011,NA
"GRIN3B",30.4804561300299,0.271045854020813,0.437291292597819,0.619829067280551,0.535370329520075,NA
"DHRS3",59.0967442450592,0.271052208088775,0.358579810886525,0.755904821910208,0.449706262726226,NA
"NIF3L1",103.705064217935,0.271134361577076,0.226741758393362,1.1957848589438,0.231780526013483,NA
"SNORA4",13.9327519622672,0.271613985398179,0.591998458765292,0.458808602246489,0.646371616846915,NA
"SLC25A30",347.139677580254,0.27171775976693,0.16535139654668,1.64327465894866,0.100326118926818,NA
"SNORA22",49.0746667190041,0.271766899289084,0.346012051587918,0.785426108836069,0.432203777819166,NA
"AJUBA",199.771695933335,0.27248470954516,0.182796274332741,1.49064695404656,0.136054209842385,NA
"ARL6",30.0893769963753,0.27278475060845,0.458680164489718,0.594716693083782,0.552032861525831,NA
"KIF18A",134.493606987541,0.272911275869471,0.195269393636998,1.39761419230301,0.162228954162203,NA
"EFCC1",33.2504189084159,0.27357679972264,0.375860757113402,0.727867420434368,0.466694748349909,NA
"NREP",261.049895591548,0.273591191145486,0.195337833193003,1.40060523183527,0.16133215558369,NA
"DNAJB4",482.257559065857,0.273676585911167,0.148620199278704,1.84144946137468,0.0655557202322922,NA
"SESN3",105.083592906462,0.27416584438273,0.267552628899655,1.02471743787483,0.305496532617487,NA
"MEIS3P1",55.2790016577112,0.274660616886084,0.387995131606917,0.707897070121866,0.479009179317045,NA
"HIST4H4",75.0008677049127,0.274760281633041,0.284612265296692,0.965384542885455,0.334352240592534,NA
"ZCCHC4",59.3311957594118,0.274805054499988,0.295315400123683,0.930547659840614,0.352087599745638,NA
"DENND6A",432.189593071322,0.275603833984669,0.130412065593526,2.11333079290134,0.0345724648990638,NA
"HDDC2",44.4428438739788,0.275672921419731,0.382204331561169,0.721271054918989,0.470742762040132,NA
